"國家" "性別" "父母教育" "數學" "化學" "地科" "生物" "物理" "電腦" "書桌" "書" "房間" "網路" "書量"
"台灣" "男生" "高中" 332.9623 406.02006 406.08444 366.09015 381.73773 "有" "有" "有" "有" "有" "26-100本"
"台灣" "男生" "大學以上" 575.77193 594.85132 591.50487 612.69018 561.91742 "有" "有" "有" "有" "有" "200本以上"
"台灣" "女生" "大學以上" 529.16007 619.25673 604.9808 535.45798 567.28374 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "大學以上" 688.23907 684.39293 601.86643 692.91738 590.54338 "有" "有" "有" "無" "有" "200本以上"
"台灣" "女生" "大學以上" 725.44129 575.46896 596.80529 553.66859 537.61686 "無" "有" "有" "有" "有" "200本以上"
"台灣" "女生" "大學以上" 519.87535 513.89754 528.05062 479.60215 514.62881 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "大學以上" 507.55461 605.53956 533.40821 520.8558 500.7496 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "大學以上" 580.93647 428.62492 484.32821 491.61653 429.22383 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "大學以上" 723.66652 663.69022 660.99757 629.03651 644.78927 "有" "有" "有" "有" "有" "11-25本"
"台灣" "女生" "高中" 592.06614 627.12531 688.25439 566.24336 674.30252 "有" "有" "有" "有" "有" "10本以下"
"台灣" "女生" "大學以上" 642.13313 585.95993 556.3943 545.69177 544.09001 "有" "有" "有" "無" "有" "200本以上"
"台灣" "女生" "專科" 560.43718 514.68107 517.98966 568.99767 477.72336 "有" "有" "有" "有" "有" "11-25本"
"台灣" "女生" "大學以上" 648.12104 571.34837 592.6872 544.74119 539.38 "有" "有" "有" "無" "有" "200本以上"
"台灣" "男生" "專科" 430.39224 317.88609 385.38031 399.30938 407.77981 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "大學以上" 578.26236 596.63322 598.15085 542.93289 539.26881 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "大學以上" 616.64739 619.4061 645.01938 581.80125 604.11903 "有" "有" "有" "有" "有" "200本以上"
"台灣" "女生" "大學以上" 406.54809 424.17862 437.83142 415.06213 394.86963 "有" "有" "有" "有" "有" "26-100本"
"台灣" "女生" "大學以上" 752.30616 750.06171 683.16936 678.81002 697.56346 "有" "有" "有" "有" "有" "101-200本"
"台灣" "女生" "專科" 573.58318 462.62931 509.51595 470.74077 492.29684 "有" "有" "有" "有" "有" "200本以上"
"台灣" "女生" "大學以上" 628.11639 581.29759 599.14246 540.45813 514.38702 "有" "有" "有" "有" "有" "26-100本"
"台灣" "男生" "專科" 662.9073 584.91049 603.1043 521.03235 560.40197 "有" "有" "無" "有" "有" "10本以下"
"台灣" "男生" "大學以上" 624.67366 655.90348 588.4959 589.26546 639.68928 "有" "有" "有" "有" "有" "26-100本"
"台灣" "男生" "大學以上" 711.2117 818.86122 736.88758 735.77072 754.87145 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 677.71724 641.71865 578.96184 559.57076 594.29899 "有" "有" "有" "無" "有" "26-100本"
"台灣" "男生" "高中" 766.93733 617.10472 617.48247 680.4934 624.65361 "有" "無" "有" "無" "有" "101-200本"
"台灣" "男生" "大學以上" 782.70985 721.877 696.79215 709.62574 700.31885 "有" "無" "無" "有" "無" "200本以上"
"台灣" "男生" "大學以上" 782.06269 793.94833 747.83594 771.95745 727.82445 "有" "有" "有" "無" "有" "200本以上"
"台灣" "男生" "大學以上" 596.63525 702.03583 670.82699 681.96793 633.12415 "有" "有" "無" "有" "有" "26-100本"
"台灣" "男生" "大學以上" 661.42806 668.26516 685.76817 702.63256 681.85871 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 754.87201 788.74175 690.2867 724.23566 696.50453 "有" "無" "無" "無" "有" "101-200本"
"台灣" "男生" "大學以上" 673.37885 654.46331 630.8219 556.38656 599.56439 "有" "有" "有" "無" "有" "26-100本"
"台灣" "男生" "大學以上" 827.17565 805.21006 745.15453 769.13713 737.74553 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 785.65716 776.64062 683.97995 711.14413 686.86245 "有" "有" "無" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 659.2621 650.61506 581.3264 647.46293 595.21564 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 705.37485 758.27104 650.14893 682.84366 651.52614 "有" "有" "無" "有" "有" "101-200本"
"台灣" "男生" "大學以上" 630.08435 661.82398 577.79795 493.10034 593.54885 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 772.95987 712.9388 679.57468 711.54796 674.10186 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "高中" 737.48427 735.87383 716.2487 724.06469 653.02162 "有" "有" "有" "有" "有" "200本以上"
"台灣" "男生" "大學以上" 662.6112 697.72363 599.92522 674.11681 640.51842 "有" "有" "有" "有" "有" "200本以上"
